"id","submited_datetime","fromdate","todate","value","loginname_id","samplestationid_id"
1,,2021-10-06,2021-10-20,-2.5,,1
2,,2021-10-13,2021-10-27,27.7,,1
3,,2021-10-20,2021-11-03,5.4,,1
4,,2021-10-27,2021-11-10,-17.9,,1
5,,2021-11-03,2021-11-17,-15.7,,1
6,,2021-11-10,2021-11-24,1.2,,1
7,,2021-11-17,2021-12-01,22.1,,1
8,,2021-11-24,2021-12-08,-4.4,,1
9,,2021-12-01,2021-12-15,-6.9,,1
10,,2021-12-08,2021-12-22,5.2,,1
11,,2021-12-15,2021-12-29,26.3,,1
12,,2021-12-22,2022-01-05,16.9,,1
13,,2021-12-29,2022-01-12,-4.2,,1
14,,2022-01-05,2022-01-19,-6.3,,1
15,,2022-01-12,2022-01-26,0.1,,1
16,,2022-01-19,2022-02-02,-3.8,,1
17,,2021-10-06,2021-10-20,2.1,,2
18,,2021-10-13,2021-10-27,32.3,,2
19,,2021-10-20,2021-11-03,6.4,,2
20,,2021-10-27,2021-11-10,-21.5,,2
21,,2021-11-03,2021-11-17,6.6,,2
22,,2021-11-10,2021-11-24,0.3,,2
23,,2021-11-17,2021-12-01,3.3,,2
24,,2021-11-24,2021-12-08,-10.8,,2
25,,2021-12-01,2021-12-15,2.5,,2
26,,2021-12-08,2021-12-22,12.7,,2
27,,2021-12-15,2021-12-29,13.5,,2
28,,2021-12-22,2022-01-05,10.2,,2
29,,2021-12-29,2022-01-12,-1.4,,2
30,,2022-01-05,2022-01-19,-2.0,,2
31,,2022-01-12,2022-01-26,-1.7,,2
32,,2022-01-19,2022-02-02,-3.5,,2
33,,2021-10-06,2021-10-20,-10.8,,3
34,,2021-10-13,2021-10-27,0.3,,3
35,,2021-10-20,2021-11-03,23.5,,3
36,,2021-10-27,2021-11-10,,,3
37,,2021-11-03,2021-11-17,-29.3,,3
38,,2021-11-10,2021-11-24,7.2,,3
39,,2021-11-17,2021-12-01,34.5,,3
40,,2021-11-24,2021-12-08,1.2,,3
41,,2021-12-01,2021-12-15,0.2,,3
42,,2021-12-08,2021-12-22,3.0,,3
43,,2021-12-15,2021-12-29,27.4,,3
44,,2021-12-22,2022-01-05,9.0,,3
45,,2021-12-29,2022-01-12,-4.5,,3
46,,2022-01-05,2022-01-19,0.5,,3
47,,2022-01-12,2022-01-26,0.5,,3
48,,2022-01-19,2022-02-02,6.2,,3
49,,2021-10-06,2021-10-20,-15.3,,4
50,,2021-10-13,2021-10-27,-2.9,,4
51,,2021-10-20,2021-11-03,23.4,,4
52,,2021-10-27,2021-11-10,,,4
53,,2021-11-03,2021-11-17,-22.9,,4
54,,2021-11-10,2021-11-24,8.5,,4
55,,2021-11-17,2021-12-01,22.7,,4
56,,2021-11-24,2021-12-08,-18.2,,4
57,,2021-12-01,2021-12-15,-7.2,,4
58,,2021-12-08,2021-12-22,15.2,,4
59,,2021-12-15,2021-12-29,36.4,,4
60,,2021-12-22,2022-01-05,6.6,,4
61,,2021-12-29,2022-01-12,-2.1,,4
62,,2022-01-05,2022-01-19,6.0,,4
63,,2022-01-12,2022-01-26,1.3,,4
64,,2022-01-19,2022-02-02,-3.6,,4
65,,2021-10-06,2021-10-20,10.9,,5
66,,2021-10-13,2021-10-27,4.3,,5
67,,2021-10-20,2021-11-03,7.4,,5
68,,2021-10-27,2021-11-10,12.0,,5
69,,2021-11-03,2021-11-17,6.6,,5
70,,2021-11-10,2021-11-24,-2.7,,5
71,,2021-11-17,2021-12-01,-10.4,,5
72,,2021-11-24,2021-12-08,-3.4,,5
73,,2021-12-01,2021-12-15,11.6,,5
74,,2021-12-08,2021-12-22,11.5,,5
75,,2021-12-15,2021-12-29,14.9,,5
76,,2021-12-22,2022-01-05,12.0,,5
77,,2021-12-29,2022-01-12,-0.6,,5
78,,2022-01-05,2022-01-19,-3.7,,5
79,,2021-10-06,2021-10-20,0.9,,6
80,,2021-10-13,2021-10-27,15.0,,6
81,,2021-10-20,2021-11-03,-0.6,,6
82,,2021-10-27,2021-11-10,-16.9,,6
83,,2021-11-03,2021-11-17,-12.9,,6
84,,2021-11-10,2021-11-24,-0.2,,6
85,,2021-11-17,2021-12-01,27.2,,6
86,,2021-11-24,2021-12-08,-14.0,,6
87,,2021-12-01,2021-12-15,8.0,,6
88,,2021-12-08,2021-12-22,19.8,,6
89,,2021-12-15,2021-12-29,6.2,,6
90,,2021-12-22,2022-01-05,13.4,,6
91,,2021-12-29,2022-01-12,-6.9,,6
92,,2022-01-05,2022-01-19,-1.7,,6
93,,2022-01-12,2022-01-26,5.3,,6
94,,2022-01-19,2022-02-02,4.5,,6
95,,2021-10-06,2021-10-20,22.3,,7
96,,2021-10-13,2021-10-27,25.4,,7
97,,2021-10-20,2021-11-03,18.3,,7
98,,2021-10-27,2021-11-10,-11.0,,7
99,,2021-11-03,2021-11-17,-1.3,,7
100,,2021-11-10,2021-11-24,8.6,,7
101,,2021-11-17,2021-12-01,6.8,,7
102,,2021-11-24,2021-12-08,-3.1,,7
103,,2021-12-01,2021-12-15,-4.3,,7
104,,2021-12-08,2021-12-22,-1.5,,7
105,,2021-12-15,2021-12-29,13.5,,7
106,,2021-12-22,2022-01-05,9.2,,7
107,,2021-12-29,2022-01-12,-7.0,,7
108,,2022-01-05,2022-01-19,2.5,,7
109,,2022-01-12,2022-01-26,2.5,,7
110,,2022-01-19,2022-02-02,-5.0,,7
111,,2022-02-09,2022-02-23,-3.5,,6
112,,2022-02-09,2022-02-23,-3.7,,5
113,,2022-02-09,2022-02-23,-9.0,,7
114,,2022-02-09,2022-02-23,-5.3,,2
115,,2022-02-09,2022-02-23,-8.4,,3
116,,2022-02-09,2022-02-23,-0.5,,4
117,,2022-01-26,2022-02-09,6.8,,7
118,,2022-01-26,2022-02-09,0.2,,6
119,,2022-01-26,2022-02-09,1.8,,5
120,,2022-01-26,2022-02-09,-1.9,,4
121,,2022-01-26,2022-02-09,8.4,,3
122,,2022-01-26,2022-02-09,2.2,,2
123,,2022-01-26,2022-02-09,-3.4,,1
124,,2022-01-19,2022-02-02,1.5,,5
125,,2022-01-12,2022-01-26,2.5,,5
126,,2022-02-02,2022-02-16,4.5,,1
127,,2022-02-02,2022-02-16,-0.5,,6
128,,2022-02-02,2022-02-16,1.8,,5
129,,2022-02-02,2022-02-16,-2.7,,7
130,,2022-02-02,2022-02-16,3.3,,2
131,,2022-02-02,2022-02-16,-3.1,,3
132,,2022-02-02,2022-02-16,3.2,,4
133,,2022-02-16,2022-03-02,-1.3,,2
134,,2022-02-09,2022-02-23,-1.3,,1
135,,2022-02-16,2022-03-02,-5.3,,1
136,,2022-02-16,2022-03-02,-0.5,,5
137,,2022-02-16,2022-03-02,-2.4,,6
138,,2022-02-16,2022-03-02,3.8,,7
139,,2022-02-16,2022-03-02,-1.7,,3
140,,2022-02-16,2022-03-02,-9.0,,4
141,,2022-02-23,2022-03-09,-3.8,,3
142,,2022-02-23,2022-03-09,4.8,,2
143,,2022-02-23,2022-03-09,12.1,,7
144,,2022-02-23,2022-03-09,6.1,,5
145,,2022-02-23,2022-03-09,7.3,,6
146,,2022-02-23,2022-03-09,9.9,,1
147,,2022-03-02,2022-03-16,14.3,,1
148,,2022-02-23,2022-03-09,8.6,,4
149,,2022-03-02,2022-03-16,15.6,,6
150,,2022-03-02,2022-03-16,13.8,,5
151,,2022-03-02,2022-03-16,14.6,,7
152,,2022-03-02,2022-03-16,3.1,,2
153,,2022-03-02,2022-03-16,14.1,,3
154,,2022-03-02,2022-03-16,15.9,,4
155,,2022-03-09,2022-03-23,6.0,,1
156,,2022-03-09,2022-03-23,-3.1,,6
157,,2022-03-09,2022-03-23,8.7,,5
158,,2022-03-09,2022-03-23,-2.7,,7
159,,2022-03-09,2022-03-23,-2.2,,2
160,,2022-03-09,2022-03-23,6.0,,3
161,,2022-03-09,2022-03-23,-2.7,,4
162,2022-04-08 16:29:43,2022-03-16,2022-03-30,-6.8,3,1
163,2022-04-08 16:29:43,2022-03-16,2022-03-30,-8.9,3,2
164,2022-04-08 16:29:43,2022-03-16,2022-03-30,-7.1,3,3
165,2022-04-08 16:29:43,2022-03-16,2022-03-30,-11.0,3,4
166,2022-04-08 16:29:43,2022-03-16,2022-03-30,-8.6,3,5
167,2022-04-08 16:29:43,2022-03-16,2022-03-30,-9.9,3,6
168,2022-04-08 16:29:43,2022-03-16,2022-03-30,-9.8,3,7
169,2022-04-14 11:43:04,2022-03-23,2022-04-06,-12.2,3,1
170,2022-04-14 11:43:04,2022-03-23,2022-04-06,-15.2,3,2
171,2022-04-14 11:43:04,2022-03-23,2022-04-06,2.0,3,3
172,2022-04-14 11:43:04,2022-03-23,2022-04-06,-0.5,3,4
173,2022-04-14 11:43:04,2022-03-23,2022-04-06,-0.5,3,5
174,2022-04-14 11:43:04,2022-03-23,2022-04-06,-6.3,3,6
175,2022-04-14 11:43:04,2022-03-23,2022-04-06,-0.3,3,7
176,2022-04-28 01:13:11,2022-03-30,2022-04-13,-18.0,3,1
177,2022-04-28 01:13:11,2022-03-30,2022-04-13,-16.6,3,2
178,2022-04-28 01:13:11,2022-03-30,2022-04-13,-12.1,3,3
179,2022-04-28 01:13:11,2022-03-30,2022-04-13,-12.1,3,4
180,2022-04-28 01:13:11,2022-03-30,2022-04-13,-19.3,3,5
181,2022-04-28 01:13:11,2022-03-30,2022-04-13,-6.4,3,6
182,2022-04-28 01:13:11,2022-03-30,2022-04-13,-5.1,3,7
183,2022-04-29 14:58:13,2022-04-06,2022-04-20,-4.8,7,1
184,2022-04-29 14:58:13,2022-04-06,2022-04-20,3.7,7,2
185,2022-04-29 14:58:13,2022-04-06,2022-04-20,-10.5,7,3
186,2022-04-29 14:58:13,2022-04-06,2022-04-20,-7.8,7,4
187,2022-04-29 14:58:13,2022-04-06,2022-04-20,-13.0,7,5
189,2022-04-29 14:58:13,2022-04-06,2022-04-20,0.3,7,7
188,2022-04-29 14:58:13,2022-04-06,2022-04-20,-12.4,3,6
190,2022-05-05 20:45:04,2022-04-13,2022-04-27,-13.9,7,1
191,2022-05-05 20:45:04,2022-04-13,2022-04-27,13.3,7,2
192,2022-05-05 20:45:04,2022-04-13,2022-04-27,4.7,7,3
193,2022-05-05 20:45:04,2022-04-13,2022-04-27,2.2,7,4
194,2022-05-05 20:45:04,2022-04-13,2022-04-27,4.7,7,5
195,2022-05-05 20:45:04,2022-04-13,2022-04-27,4.3,7,6
196,2022-05-05 20:45:04,2022-04-13,2022-04-27,1.9,7,7
197,2022-05-15 12:44:25,2022-04-20,2022-05-04,-18.2,7,1
198,2022-05-15 12:44:25,2022-04-20,2022-05-04,-16.2,7,2
199,2022-05-15 12:44:25,2022-04-20,2022-05-04,-22.8,7,3
200,2022-05-15 12:44:25,2022-04-20,2022-05-04,-7.1,7,4
201,2022-05-15 12:44:25,2022-04-20,2022-05-04,-8.7,7,5
202,2022-05-15 12:44:25,2022-04-20,2022-05-04,-12.9,7,6
203,2022-05-15 12:44:25,2022-04-20,2022-05-04,-14.0,7,7
204,2022-05-22 21:33:25,2022-04-27,2022-05-11,10.8,7,1
205,2022-05-22 21:33:25,2022-04-27,2022-05-11,-5.7,7,2
206,2022-05-22 21:33:25,2022-04-27,2022-05-11,-6.8,7,3
207,2022-05-22 21:33:25,2022-04-27,2022-05-11,-32.9,7,4
208,2022-05-22 21:33:25,2022-04-27,2022-05-11,-33.6,7,5
209,2022-05-22 21:33:25,2022-04-27,2022-05-11,-22.2,7,6
210,2022-05-22 21:33:25,2022-04-27,2022-05-11,-18.7,7,7
211,2022-05-27 15:31:39,2022-05-04,2022-05-18,-9.1,7,1
212,2022-05-27 15:31:39,2022-05-04,2022-05-18,3.9,7,2
213,2022-05-27 15:31:39,2022-05-04,2022-05-18,8.4,7,3
214,2022-05-27 15:31:39,2022-05-04,2022-05-18,-9.9,7,4
215,2022-05-27 15:31:39,2022-05-04,2022-05-18,16.4,7,5
216,2022-05-27 15:31:39,2022-05-04,2022-05-18,-20.4,7,6
217,2022-05-27 15:31:39,2022-05-04,2022-05-18,7.1,7,7
218,2022-06-05 10:41:08,2022-05-11,2022-05-25,21.9,7,1
219,2022-06-05 10:41:08,2022-05-11,2022-05-25,5.9,7,2
220,2022-06-05 10:41:08,2022-05-11,2022-05-25,-30.2,7,3
221,2022-06-05 10:41:08,2022-05-11,2022-05-25,36.7,7,4
222,2022-06-05 10:41:08,2022-05-11,2022-05-25,-11.0,7,5
223,2022-06-05 10:41:08,2022-05-11,2022-05-25,43.2,7,6
224,2022-06-05 10:41:08,2022-05-11,2022-05-25,1.6,7,7
225,2022-06-10 14:25:16,2022-05-18,2022-06-01,7.7,7,1
226,2022-06-10 14:25:16,2022-05-18,2022-06-01,-2.0,7,2
227,2022-06-10 14:25:16,2022-05-18,2022-06-01,-30.2,7,3
228,2022-06-10 14:25:16,2022-05-18,2022-06-01,19.4,7,4
229,2022-06-10 14:25:16,2022-05-18,2022-06-01,31.0,7,5
230,2022-06-10 14:25:16,2022-05-18,2022-06-01,16.1,7,6
231,2022-06-10 14:25:16,2022-05-18,2022-06-01,3.9,7,7
232,2022-06-18 18:37:18,2022-05-25,2022-06-08,5.5,7,1
233,2022-06-18 18:37:18,2022-05-25,2022-06-08,-0.3,7,2
234,2022-06-18 18:37:18,2022-05-25,2022-06-08,48.8,7,3
235,2022-06-18 18:37:18,2022-05-25,2022-06-08,6.4,7,4
236,2022-06-18 18:37:18,2022-05-25,2022-06-08,-45.2,7,5
237,2022-06-18 18:37:18,2022-05-25,2022-06-08,-2.5,7,6
238,2022-06-18 18:37:18,2022-05-25,2022-06-08,-6.9,7,7
239,2022-06-23 16:48:45,2022-06-01,2022-06-15,-11.8,7,1
240,2022-06-23 16:48:45,2022-06-01,2022-06-15,-8.7,7,2
241,2022-06-23 16:48:45,2022-06-01,2022-06-15,41.6,7,3
242,2022-06-23 16:48:45,2022-06-01,2022-06-15,-1.1,7,4
243,2022-06-23 16:48:45,2022-06-01,2022-06-15,-14.4,7,5
244,2022-06-23 16:48:45,2022-06-01,2022-06-15,-11.0,7,6
245,2022-06-23 16:48:45,2022-06-01,2022-06-15,-16.5,7,7
246,2022-07-04 16:28:00,2022-06-08,2022-06-22,8.8,7,1
247,2022-07-04 16:28:00,2022-06-08,2022-06-22,4.3,7,2
248,2022-07-04 16:28:00,2022-06-08,2022-06-22,13.0,7,3
249,2022-07-04 16:28:00,2022-06-08,2022-06-22,23.7,7,4
250,2022-07-04 16:28:00,2022-06-08,2022-06-22,72.3,7,5
251,2022-07-04 16:28:00,2022-06-08,2022-06-22,7.1,7,6
252,2022-07-04 16:28:00,2022-06-08,2022-06-22,26.8,7,7
253,2022-07-07 13:10:46,2022-06-15,2022-06-29,10.0,7,1
254,2022-07-07 13:10:46,2022-06-15,2022-06-29,1.3,7,2
255,2022-07-07 13:10:46,2022-06-15,2022-06-29,8.6,7,3
256,2022-07-07 13:10:46,2022-06-15,2022-06-29,-3.1,7,4
257,2022-07-07 13:10:46,2022-06-15,2022-06-29,4.8,7,5
258,2022-07-07 13:10:46,2022-06-15,2022-06-29,11.9,7,6
259,2022-07-07 13:10:46,2022-06-15,2022-06-29,16.4,7,7
260,2022-07-15 10:10:58,2022-06-22,2022-07-06,10.6,7,1
261,2022-07-15 10:10:58,2022-06-22,2022-07-06,10.5,7,2
262,2022-07-15 10:10:58,2022-06-22,2022-07-06,14.7,7,3
263,2022-07-15 10:10:58,2022-06-22,2022-07-06,5.7,7,4
264,2022-07-15 10:10:58,2022-06-22,2022-07-06,27.4,7,5
265,2022-07-15 10:10:58,2022-06-22,2022-07-06,27.7,7,6
266,2022-07-15 10:10:58,2022-06-22,2022-07-06,10.3,7,7
267,2022-07-25 13:58:13,2022-06-29,2022-07-13,6.4,7,1
268,2022-07-25 13:58:13,2022-06-29,2022-07-13,10.9,7,2
269,2022-07-25 13:58:13,2022-06-29,2022-07-13,-5.6,7,3
270,2022-07-25 13:58:13,2022-06-29,2022-07-13,-2.1,7,4
271,2022-07-25 13:58:13,2022-06-29,2022-07-13,1.7,7,5
272,2022-07-25 13:58:13,2022-06-29,2022-07-13,-13.0,7,6
273,2022-07-25 13:58:13,2022-06-29,2022-07-13,-4.3,7,7
274,2022-07-28 17:51:19,2022-07-06,2022-07-20,-16.7,7,1
275,2022-07-28 17:51:19,2022-07-06,2022-07-20,-22.1,7,2
276,2022-07-28 17:51:19,2022-07-06,2022-07-20,-20.1,7,3
277,2022-07-28 17:51:19,2022-07-06,2022-07-20,-13.6,7,4
278,2022-07-28 17:51:19,2022-07-06,2022-07-20,-18.5,7,5
279,2022-07-28 17:51:19,2022-07-06,2022-07-20,-16.9,7,6
280,2022-07-28 17:51:19,2022-07-06,2022-07-20,-18.8,7,7
281,2022-08-09 11:36:19,2022-07-13,2022-07-27,-6.5,7,1
282,2022-08-09 11:36:19,2022-07-13,2022-07-27,1.5,7,2
283,2022-08-09 11:36:19,2022-07-13,2022-07-27,0.4,7,3
284,2022-08-09 11:36:19,2022-07-13,2022-07-27,12.6,7,4
285,2022-08-09 11:36:19,2022-07-13,2022-07-27,1.1,7,5
286,2022-08-09 11:36:19,2022-07-13,2022-07-27,4.4,7,6
287,2022-08-09 11:36:19,2022-07-13,2022-07-27,-1.4,7,7
288,2022-08-18 18:12:57,2022-07-27,2022-08-10,-1.3,7,1
289,2022-08-18 18:12:57,2022-07-27,2022-08-10,-15.1,7,2
290,2022-08-18 18:12:57,2022-07-27,2022-08-10,-7.0,7,3
291,2022-08-18 18:12:57,2022-07-27,2022-08-10,-11.0,7,4
292,2022-08-18 18:12:57,2022-07-27,2022-08-10,-10.0,7,5
293,2022-08-18 18:12:57,2022-07-27,2022-08-10,-7.1,7,6
294,2022-08-18 18:12:57,2022-07-27,2022-08-10,-5.8,7,7
295,2022-08-25 16:03:52,2022-08-03,2022-08-17,-13.3,7,1
296,2022-08-25 16:03:52,2022-08-03,2022-08-17,-9.2,7,2
297,2022-08-25 16:03:52,2022-08-03,2022-08-17,-11.5,7,3
298,2022-08-25 16:03:52,2022-08-03,2022-08-17,-14.0,7,4
299,2022-08-25 16:03:52,2022-08-03,2022-08-17,0.0,7,5
300,2022-08-25 16:03:52,2022-08-03,2022-08-17,-36.8,7,6
301,2022-08-25 16:03:52,2022-08-03,2022-08-17,-9.6,7,7
302,2022-09-02 10:02:42,2022-08-10,2022-08-24,4.5,7,1
303,2022-09-02 10:02:42,2022-08-10,2022-08-24,4.7,7,2
304,2022-09-02 10:02:42,2022-08-10,2022-08-24,-5.2,7,3
305,2022-09-02 10:02:42,2022-08-10,2022-08-24,3.6,7,4
307,2022-09-02 10:02:42,2022-08-10,2022-08-24,10.5,7,6
308,2022-09-02 10:02:42,2022-08-10,2022-08-24,-4.1,7,7
306,2022-09-02 10:02:42,2022-08-10,2022-08-24,-8.5,7,5
309,2022-09-08 15:08:41,2022-08-17,2022-08-31,-2.8,7,1
310,2022-09-08 15:08:41,2022-08-17,2022-08-31,9.7,7,2
311,2022-09-08 15:08:41,2022-08-17,2022-08-31,-0.6,7,3
312,2022-09-08 15:08:41,2022-08-17,2022-08-31,0.4,7,4
313,2022-09-08 15:08:41,2022-08-17,2022-08-31,-9.3,7,5
314,2022-09-08 15:08:41,2022-08-17,2022-08-31,27.8,7,6
315,2022-09-08 15:08:41,2022-08-17,2022-08-31,-0.2,7,7
316,2022-09-16 14:01:10,2022-08-24,2022-09-07,3.7,7,1
317,2022-09-16 14:01:10,2022-08-24,2022-09-07,6.7,7,2
318,2022-09-16 14:01:10,2022-08-24,2022-09-07,15.4,7,3
319,2022-09-16 14:01:10,2022-08-24,2022-09-07,-14.7,7,4
320,2022-09-16 14:01:10,2022-08-24,2022-09-07,-2.3,7,5
321,2022-09-16 14:01:10,2022-08-24,2022-09-07,-21.1,7,6
322,2022-09-16 14:01:10,2022-08-24,2022-09-07,2.1,7,7
323,2022-09-23 17:26:09,2022-08-31,2022-09-14,2.2,7,1
324,2022-09-23 17:26:09,2022-08-31,2022-09-14,-30.1,7,2
325,2022-09-23 17:26:09,2022-08-31,2022-09-14,3.6,7,4
326,2022-09-23 17:26:09,2022-08-31,2022-09-14,-25.7,7,5
327,2022-09-23 17:26:09,2022-08-31,2022-09-14,22.4,7,6
328,2022-09-23 17:26:09,2022-08-31,2022-09-14,-3.6,7,7
329,2022-09-23 17:26:09,2022-08-31,2022-09-14,13.9,7,3
330,2022-09-30 10:25:31,2022-09-07,2022-09-21,20.0,7,2
331,2022-09-30 10:25:31,2022-09-07,2022-09-21,18.6,7,4
332,2022-09-30 10:25:31,2022-09-07,2022-09-21,-21.8,7,6
333,2022-09-30 10:25:31,2022-09-07,2022-09-21,-11.4,7,3
334,2022-10-07 12:34:00,2022-09-07,2022-09-21,-19.3,7,1
335,2022-10-07 12:34:00,2022-09-07,2022-09-21,-49.5,7,5
336,2022-10-07 12:34:00,2022-09-07,2022-09-21,0.7,7,7
337,2022-10-07 12:35:24,2022-09-14,2022-09-28,85.9,7,2
338,2022-10-07 12:35:24,2022-09-14,2022-09-28,-31.4,7,4
339,2022-10-07 12:35:24,2022-09-14,2022-09-28,41.0,7,6
340,2022-10-07 12:35:24,2022-09-14,2022-09-28,9.0,7,3
341,2022-10-14 09:44:10,2022-09-21,2022-10-05,-14.8,3,4
342,2022-10-14 09:44:10,2022-09-21,2022-10-05,-4.8,3,3
343,2022-10-14 14:17:20,2022-08-03,2022-08-17,-3.6,7,5
